worker_id,descripcion,prioridad,timestamp
worker_088,Tarea para worker_088,media,2025-06-16T13:45:35.848609
worker_064,Tarea para worker_064,media,2025-06-14T19:45:35.848633
worker_076,Tarea para worker_076,alta,2025-06-14T22:45:35.848643
worker_041,Tarea para worker_041,media,2025-06-28T19:45:35.848652
worker_029,Tarea para worker_029,baja,2025-06-02T03:45:35.848661
worker_075,Tarea para worker_075,baja,2025-06-04T00:45:35.848670
worker_034,Tarea para worker_034,media,2025-06-04T16:45:35.848683
worker_060,Tarea para worker_060,media,2025-06-14T13:45:35.848705
worker_023,Tarea para worker_023,baja,2025-06-15T01:45:35.848715
worker_062,Tarea para worker_062,baja,2025-06-13T10:45:35.848724
worker_052,Tarea para worker_052,media,2025-06-07T18:45:35.848732
worker_020,Tarea para worker_020,media,2025-06-06T06:45:35.848739
worker_036,Tarea para worker_036,media,2025-06-16T04:45:35.848747
worker_004,Tarea para worker_004,media,2025-06-18T13:45:35.848755
worker_041,Tarea para worker_041,alta,2025-06-04T09:45:35.848762
worker_065,Tarea para worker_065,baja,2025-06-28T00:45:35.848769
worker_069,Tarea para worker_069,media,2025-06-27T15:45:35.848777
worker_066,Tarea para worker_066,media,2025-06-04T06:45:35.848786
worker_080,Tarea para worker_080,media,2025-06-27T15:45:35.848794
worker_034,Tarea para worker_034,media,2025-05-30T12:45:35.848801
worker_056,Tarea para worker_056,baja,2025-06-13T18:45:35.848821
worker_003,Tarea para worker_003,baja,2025-06-09T14:45:35.848833
worker_090,Tarea para worker_090,alta,2025-06-11T21:45:35.848846
worker_070,Tarea para worker_070,media,2025-06-21T18:45:35.848861
worker_059,Tarea para worker_059,baja,2025-06-08T17:45:35.848869
worker_063,Tarea para worker_063,baja,2025-06-19T05:45:35.848876
worker_090,Tarea para worker_090,alta,2025-06-02T06:45:35.848883
worker_060,Tarea para worker_060,alta,2025-06-11T17:45:35.848892
worker_049,Tarea para worker_049,alta,2025-06-09T05:45:35.848899
worker_095,Tarea para worker_095,baja,2025-06-01T19:45:35.848906
worker_035,Tarea para worker_035,baja,2025-06-01T08:45:35.848913
worker_043,Tarea para worker_043,baja,2025-06-12T13:45:35.848921
worker_000,Tarea para worker_000,alta,2025-06-19T03:45:35.848928
worker_074,Tarea para worker_074,baja,2025-06-13T17:45:35.848935
worker_057,Tarea para worker_057,media,2025-06-17T11:45:35.848948
worker_070,Tarea para worker_070,baja,2025-06-16T07:45:35.848960
worker_041,Tarea para worker_041,baja,2025-06-06T14:45:35.848972
worker_073,Tarea para worker_073,media,2025-06-01T08:45:35.848982
worker_005,Tarea para worker_005,media,2025-06-12T23:45:35.848989
worker_048,Tarea para worker_048,media,2025-06-07T01:45:35.848996
worker_019,Tarea para worker_019,media,2025-06-27T17:45:35.849004
worker_064,Tarea para worker_064,baja,2025-06-18T18:45:35.849011
worker_056,Tarea para worker_056,alta,2025-05-30T07:45:35.849018
worker_001,Tarea para worker_001,baja,2025-06-15T01:45:35.849025
worker_019,Tarea para worker_019,alta,2025-06-03T13:45:35.849033
worker_043,Tarea para worker_043,media,2025-06-16T01:45:35.849040
worker_010,Tarea para worker_010,baja,2025-06-01T00:45:35.849047
worker_068,Tarea para worker_068,media,2025-06-18T01:45:35.849054
worker_091,Tarea para worker_091,baja,2025-06-13T04:45:35.849061
worker_004,Tarea para worker_004,media,2025-06-21T01:45:35.849069
worker_087,Tarea para worker_087,baja,2025-06-20T22:45:35.849077
worker_011,Tarea para worker_011,media,2025-06-25T01:45:35.849085
worker_090,Tarea para worker_090,baja,2025-06-14T16:45:35.849092
worker_088,Tarea para worker_088,alta,2025-06-28T20:45:35.849100
worker_041,Tarea para worker_041,baja,2025-06-19T10:45:35.849108
worker_047,Tarea para worker_047,media,2025-06-21T05:45:35.849115
worker_052,Tarea para worker_052,media,2025-06-03T16:45:35.849122
worker_021,Tarea para worker_021,alta,2025-06-09T09:45:35.849129
worker_079,Tarea para worker_079,media,2025-06-13T03:45:35.849137
worker_018,Tarea para worker_018,alta,2025-06-08T13:45:35.849144
worker_058,Tarea para worker_058,alta,2025-06-28T07:45:35.849151
worker_036,Tarea para worker_036,media,2025-06-23T19:45:35.849159
worker_056,Tarea para worker_056,baja,2025-06-10T12:45:35.849166
worker_081,Tarea para worker_081,baja,2025-06-06T13:45:35.849173
worker_058,Tarea para worker_058,baja,2025-06-22T09:45:35.849182
worker_061,Tarea para worker_061,alta,2025-06-16T03:45:35.849194
worker_045,Tarea para worker_045,media,2025-06-06T12:45:35.849216
worker_002,Tarea para worker_002,baja,2025-06-07T09:45:35.849224
worker_035,Tarea para worker_035,alta,2025-06-01T00:45:35.849231
worker_099,Tarea para worker_099,baja,2025-06-27T02:45:35.849238
worker_095,Tarea para worker_095,media,2025-05-31T12:45:35.849245
worker_099,Tarea para worker_099,baja,2025-06-09T10:45:35.849252
worker_028,Tarea para worker_028,media,2025-06-09T13:45:35.849259
worker_086,Tarea para worker_086,baja,2025-06-04T00:45:35.849266
worker_087,Tarea para worker_087,baja,2025-06-08T18:45:35.849273
worker_080,Tarea para worker_080,media,2025-06-19T07:45:35.849280
worker_004,Tarea para worker_004,media,2025-06-05T17:45:35.849288
worker_011,Tarea para worker_011,baja,2025-06-17T22:45:35.849295
worker_053,Tarea para worker_053,alta,2025-06-24T04:45:35.849303
worker_046,Tarea para worker_046,media,2025-05-30T13:45:35.849312
worker_021,Tarea para worker_021,alta,2025-06-02T06:45:35.849319
